Image,Latitude,Longitude
20211126_074454 (1).jpg,18.51621,73.85569
20211126_074454.jpg,18.51635,73.8562
20211205_145827 (1).jpg,18.36638,73.75583
20211205_145827.jpg,18.36629,73.75606
20211219_131354 (1).jpg,18.23376,73.44072
20211219_131354 (2).jpg,18.23425,73.44105
20211219_131354.jpg,18.23426,73.44116
2022-01-08 (1).jpg,18.36634,73.75564
2022-01-08.jpg,18.36628,73.75566
2022-01-12 (1).jpg,18.44862,73.881
2022-01-12.jpg,18.4484,73.88074
2022-01-26 (1).jpg,18.27595,73.62244
2022-01-26.jpg,18.27594,73.6225
2022-01-27 (1).jpg,18.5229,73.81674
2022-01-27 (2).jpg,18.52257,73.816
2022-01-27 (3).jpg,18.52794,73.81675
2022-01-27 (4).jpg,18.5298,73.81534
2022-01-27 (5).jpg,18.52897,73.81655
2022-01-27 (6).jpg,18.52254,73.81638
2022-01-27 (7).jpg,18.52628,73.81613
2022-01-27 (8).jpg,18.52922,73.81545
2022-01-27.jpg,18.52415,73.8155
2022-02-08 (1).jpg,18.52694,73.85021
2022-02-08.jpg,18.52695,73.85021
2022-02-10 (1).jpg,18.36632,73.75682
2022-02-10.jpg,18.36633,73.75542
2022-02-14 (1).jpg,18.44864,73.88077
2022-02-14 (1).jpg,18.49062,73.83627
2022-02-14.jpg,18.44867,73.88088
2022-02-14.jpg,18.49052,73.83703
2022-02-19.jpg,18.44931,73.88086
2022-03-02 (1).jpg,18.44932,73.88091
2022-03-02.jpg,18.44727,73.88093
2022-03-24 (1).jpg,18.55461,73.78996
2022-03-24.jpg,18.55445,73.79104
2022-03-29 (1).jpg,18.44911,73.88098
2022-03-29.jpg,18.44821,73.88093
2022-04-01 (1).jpg,18.23411,73.44102
2022-04-01.jpg,18.23364,73.44085
2022-04-07.jpg,18.44859,73.88093
2022-04-09 (1).jpg,18.5162,73.85568
2022-04-09.jpg,18.51616,73.85585
2022-04-11 (1).jpg,18.55423,73.78907
2022-04-11 (2).jpg,18.55374,73.79026
2022-04-11.jpg,18.55365,73.79049
2022-04-12 (1).jpg,18.55366,73.78906
2022-04-12.jpg,18.55451,73.78995
2022-04-20 (1).jpg,18.52694,73.85027
2022-04-20.jpg,18.52695,73.85011
2022-05-16 (1).jpg,18.43584,73.77175
2022-05-16.jpg,18.43556,73.77301
2022-06-05.jpg,18.36633,73.75687
2022-06-08 (1).jpg,18.23328,73.44057
2022-06-08 (2).jpg,18.23368,73.441
2022-06-08.jpg,18.23327,73.44056
2022-06-10 (1).jpg,18.44796,73.88091
2022-06-10.jpg,18.44863,73.8808
2022-06-11 (1).jpg,18.23424,73.44065
2022-06-11 (2).jpg,18.23363,73.44059
2022-06-11.jpg,18.23358,73.44056
2022-06-14 (1).jpg,18.49246,73.83676
2022-06-14.jpg,18.49249,73.83641
2022-06-19 (1).jpg,18.52694,73.85017
2022-06-19.jpg,18.52694,73.85008
2022-06-20 (1).jpg,18.44864,73.88092
2022-06-20 (1).jpg,18.52694,73.85004
